[32cBZcCYWscNUI3vjL6G3H1SqGfY9hS3zUShp6LTzYZVvrzeEDIZFe] esta na tabela, timestamp 54
[GNUVw39iI6adB9h7JCAXSx1CA91J1Kp6PveLmTe5OauYwSqLJZkONpCmiIBSZHL] esta na tabela, timestamp 43
[TtWohd3oCXIlszOWr8S1gjEbwZlkKZlGT2DaUEOwcR6nx3NsvwiVkwMn54YhkL2FWRv8SIwzwWODSHh7ulNvm1k6VGypSQii5EwvNZJVBXxbOCqbrs4DVVIYvqxiaE05l7bFFIW6emlRkmCKU9NUdyrgWBJm3KXidKF4xoiJ8IMpjzMNVtjOAcPa] esta na tabela, timestamp 20
[a92OOpnLNy3HtO52ojLBXlE0Xw62m7JQDLJFYml0BskfOGy0C2vaxE1TXWKslqpmw4cHm94IsbfL] esta na tabela, timestamp 30
[wbGWhrKHkBXCd6PXPvwFq9GjTegHer4ouH3s7e1] esta na tabela, timestamp 42
[TG8XdjL1rAGZmQAElJDtqgJ7lFPPKbUGupRPnvxG54H2548sMWJWNd5xHpjXxxb0Ogkc9ofRHJwd9CeGKwJYu1TChCDkTzhH3c2Tj] esta na tabela, timestamp 53
[Ml49Xi5EfqaCsSWcwmJgDSNGvIA4wUjzDYh] esta na tabela, timestamp 45
[z3EFimsPf55uxkMZKTKFYmK8muyid7ThpkcT9HZUNANx7z61pmwfrURC52j5NHSPvmZvckS6vFD1GQ5dqz1ANbtMtTdLYKVHbBbGgl4KJI5HosyQDnuBIArIgCUyOdYtG6ShJnhX0C86IiuOZ] esta na tabela, timestamp 47
[YPfXsRB31LvaiDE2NqTqRiQm5TfSm5sfBtpCUdlw4RPLW5G5hXnjba9obI98joni3gsBetrJb0Fqo5GfeH7PBR6LgvjSUAzZmYHT7AKrxKGfpjd0Jeepw5hHXmesK1UpgFNVk6Ilciklm5lvQxb9lZxnYuiCGF9qVoyUOnIEQDyXjv] esta na tabela, timestamp 7
[T4oXkhFIrtlm7Fq1N2ry0bODdbt5zEvDuTb1NmsWGuywBHqGEalnYkOiQNO] esta na tabela, timestamp 50
[OdQBoZ2L9WIIobRzxEkd4tSDOwUy2UIQd7kbtymznnDcIXAud4TjCG8z8OD4k0fbm9AMfMY5wGnN0gcspmhUJxXLlCdp2gnkf2KmmYxCicuu2exBiv7ROjU3h4fjnkw44S6WvJusy0dSCgGOwSIo2Z2JE1flZqeK45PuOsmjDeidOtXtTFCYMbj39ZNpmY3seNfAvhz4g] esta na tabela, timestamp 34
[m1a3pIZdKLM3d28XlusRAeEZKxlYDBCaNct0iNBCqnDySaPBMLzGUU6j0AaMMY7dtseEVmFg5YPXEAuWUpQfgA2bmit6dAYiy6BKVWTFlI42gGnQijImMtaFBmvOCRzxdeQ6hBgojmNlJaXvnFE2Jbqftqfu9GqbItki9CLHJt76qzJuhBvbLYOiODBuF3HEKADd6q043ubHb9] esta na tabela, timestamp 57
[Cgj5VSmVrC4q5U23S81dqtSpQigVYiRVZsvunBimtyIrPJyoCzvj5znMQXbtCmDS5DVT0uE8hCG8aXs7kMH72vHPKByRnx5qNvtBTbXiGUBPB3lcQQaOCwyVFq9n1as7e] esta na tabela, timestamp 3
[fRbmeTFw0N7Inn48YU2lP1uMUsTaJQgsvCklHysHuwt3qNZJASyKuZdRUFxSTApCYocKhJcSMdn5mNZxtV5pUCGbPp8CfTddKDi2LMnX] esta na tabela, timestamp 10
